year,country3,population
1981,AND,37500
1982,AND,39114
1983,AND,40867
1984,AND,42706
1985,AND,44600
1986,AND,46517
1987,AND,48455
1988,AND,50434
1989,AND,52448
1990,AND,54509
1991,AND,56671
1992,AND,58888
1993,AND,60971
1994,AND,62677
1995,AND,63850
1996,AND,64360
1997,AND,64327
1998,AND,64142
1999,AND,64370
2000,AND,65390
2001,AND,67341
2002,AND,70049
2003,AND,73182
2004,AND,76244
2005,AND,78867
2006,AND,80991
2007,AND,82683
2008,AND,83861
2009,AND,84462
2010,AND,84449
2011,AND,83751
2012,AND,82431
2013,AND,80788
2014,AND,79223
2015,AND,78014
2016,AND,77281
2017,AND,76965
1960,ARB,92490932
1961,ARB,95044497
1962,ARB,97682294
1963,ARB,100411076
1964,ARB,103239902
1965,ARB,106174988
1966,ARB,109230593
1967,ARB,112406932
1968,ARB,115680165
1969,ARB,119016542
1970,ARB,122398374
1971,ARB,125807419
1972,ARB,129269375
1973,ARB,132863416
1974,ARB,136696761
1975,ARB,140843298
1976,ARB,145332378
1977,ARB,150133054
1978,ARB,155183724
1979,ARB,160392488
1980,ARB,165689490
1981,ARB,171051950
1982,ARB,176490084
1983,ARB,182005827
1984,ARB,187610756
1985,ARB,193310301
1986,ARB,199093767
1987,ARB,204942549
1988,ARB,210844771
1989,ARB,216787402
1990,ARB,224735446
1991,ARB,230829868
1992,ARB,235037179
1993,ARB,241286091
1994,ARB,247435930
1995,ARB,255029671
1996,ARB,260843462
1997,ARB,266575075
1998,ARB,272235146
1999,ARB,277962869
2000,ARB,283832016
2001,ARB,289850357
2002,ARB,296026575
2003,ARB,302434519
2004,ARB,309162029
2005,ARB,316264728
2006,ARB,323773264
2007,ARB,331653797
2008,ARB,339825483
2009,ARB,348145094
2010,ARB,356508908
2011,ARB,364895878
2012,ARB,373306993
2013,ARB,381702086
2014,ARB,390043028
2015,ARB,398304960
2016,ARB,406452690
2017,ARB,414491886
1960,ARE,92634
1961,ARE,101078
1962,ARE,112472
1963,ARE,125566
1964,ARE,138529
1965,ARE,150362
1966,ARE,160481
1967,ARE,170283
1968,ARE,183194
1969,ARE,203820
1970,ARE,235499
1971,ARE,278808
1972,ARE,332760
1973,ARE,397174
1974,ARE,471364
1975,ARE,554324
1976,ARE,646943
1977,ARE,748117
1978,ARE,852262
1979,ARE,952040
1980,ARE,1042384
1981,ARE,1120900
1982,ARE,1189545
1983,ARE,1253060
1984,ARE,1318478
1985,ARE,1391052
1986,ARE,1472218
1987,ARE,1560718
1988,ARE,1655849
1989,ARE,1756043
1990,ARE,1860174
1991,ARE,1970026
1992,ARE,2086639
1993,ARE,2207405
1994,ARE,2328686
1995,ARE,2448820
1996,ARE,2571020
1997,ARE,2700010
1998,ARE,2838145
1999,ARE,2988162
2000,ARE,3154925
2001,ARE,3326032
2002,ARE,3507232
2003,ARE,3741932
2004,ARE,4087931
2005,ARE,4579562
2006,ARE,5242032
2007,ARE,6044067
2008,ARE,6894278
2009,ARE,7666393
2010,ARE,8270684
2011,ARE,8672475
2012,ARE,8900453
2013,ARE,9006263
2014,ARE,9070867
2015,ARE,9154302
2016,ARE,9269612
2017,ARE,9400145
1960,ARG,20619075
1961,ARG,20953077
1962,ARG,21287682
1963,ARG,21621840
1964,ARG,21953929
1965,ARG,22283390
1966,ARG,22608748
1967,ARG,22932203
1968,ARG,23261278
1969,ARG,23605987
1970,ARG,23973058
1971,ARG,24366439
1972,ARG,24782949
1973,ARG,25213388
1974,ARG,25644506
1975,ARG,26066975
1976,ARG,26477152
1977,ARG,26878565
1978,ARG,27277741
1979,ARG,27684534
1980,ARG,28105888
1981,ARG,28543364
1982,ARG,28993987
1983,ARG,29454738
1984,ARG,29920904
1985,ARG,30388783
1986,ARG,30857244
1987,ARG,31326473
1988,ARG,31795517
1989,ARG,32263561
1990,ARG,32729739
1991,ARG,33193918
1992,ARG,33655151
1993,ARG,34110917
1994,ARG,34558115
1995,ARG,34994814
1996,ARG,35419682
1997,ARG,35833969
1998,ARG,36241590
1999,ARG,36648068
2000,ARG,37057452
2001,ARG,37471509
2002,ARG,37889370
2003,ARG,38309379
2004,ARG,38728696
2005,ARG,39145488
2006,ARG,39558890
2007,ARG,39970224
2008,ARG,40382389
2009,ARG,40799407
2010,ARG,41223889
2011,ARG,41656879
2012,ARG,42096739
2013,ARG,42539925
2014,ARG,42981515
2015,ARG,43417765
2016,ARG,43847430
2017,ARG,44271041
1960,ARM,1874120
1961,ARM,1941491
1962,ARM,2009526
1963,ARM,2077575
1964,ARM,2144998
1965,ARM,2211316
1966,ARM,2276031
1967,ARM,2339124
1968,ARM,2401140
1969,ARM,2462925
1970,ARM,2525065
1971,ARM,2587706
1972,ARM,2650484
1973,ARM,2712781
1974,ARM,2773747
1975,ARM,2832757
1976,ARM,2889579
1977,ARM,2944379
1978,ARM,2997411
1979,ARM,3049105
1980,ARM,3099751
1981,ARM,3148092
1982,ARM,3193686
1983,ARM,3238594
1984,ARM,3285595
1985,ARM,3335935
1986,ARM,3392256
1987,ARM,3451942
1988,ARM,3504651
1989,ARM,3536469
1990,ARM,3538165
1991,ARM,3505251
1992,ARM,3442810
1993,ARM,3363098
1994,ARM,3283660
1995,ARM,3217342
1996,ARM,3168215
1997,ARM,3133086
1998,ARM,3108684
1999,ARM,3089017
2000,ARM,3069588
2001,ARM,3050655
2002,ARM,3033897
2003,ARM,3017806
2004,ARM,3000612
2005,ARM,2981259
2006,ARM,2958500
2007,ARM,2933056
2008,ARM,2908220
2009,ARM,2888584
2010,ARM,2877311
2011,ARM,2875581
2012,ARM,2881922
2013,ARM,2893509
2014,ARM,2906220
2015,ARM,2916950
2016,ARM,2924816
2017,ARM,2930450
1960,ASM,20013
1961,ASM,20486
1962,ASM,21117
1963,ASM,21882
1964,ASM,22698
1965,ASM,23520
1966,ASM,24321
1967,ASM,25116
1968,ASM,25885
1969,ASM,26614
1970,ASM,27292
1971,ASM,27916
1972,ASM,28492
1973,ASM,29014
1974,ASM,29488
1975,ASM,29932
1976,ASM,30321
1977,ASM,30689
1978,ASM,31102
1979,ASM,31673
1980,ASM,32457
1981,ASM,33493
1982,ASM,34738
1983,ASM,36160
1984,ASM,37688
1985,ASM,39241
1986,ASM,40837
1987,ASM,42450
1988,ASM,44047
1989,ASM,45593
1990,ASM,47038
1991,ASM,48375
1992,ASM,49593
1993,ASM,50720
1994,ASM,51803
1995,ASM,52868
1996,ASM,53929
1997,ASM,54941
1998,ASM,55901
1999,ASM,56770
2000,ASM,57521
2001,ASM,58175
2002,ASM,58731
2003,ASM,59117
2004,ASM,59264
2005,ASM,59118
2006,ASM,58650
2007,ASM,57903
2008,ASM,57030
2009,ASM,56227
2010,ASM,55637
2011,ASM,55320
2012,ASM,55230
2013,ASM,55307
2014,ASM,55437
2015,ASM,55537
2016,ASM,55599
2017,ASM,55641
1960,ATG,55339
1961,ATG,56144
1962,ATG,57144
1963,ATG,58294
1964,ATG,59524
1965,ATG,60781
1966,ATG,62059
1967,ATG,63360
1968,ATG,64655
1969,ATG,65910
1970,ATG,67098
1971,ATG,68188
1972,ATG,69176
1973,ATG,70066
1974,ATG,70878
1975,ATG,71609
1976,ATG,72285
1977,ATG,72875
1978,ATG,73324
1979,ATG,73528
1980,ATG,73442
1981,ATG,73066
1982,ATG,72448
1983,ATG,71639
1984,ATG,70725
1985,ATG,69782
1986,ATG,68809
1987,ATG,67845
1988,ATG,67058
1989,ATG,66627
1990,ATG,66696
1991,ATG,67307
1992,ATG,68427
1993,ATG,69938
1994,ATG,71719
1995,ATG,73619
1996,ATG,75628
1997,ATG,77739
1998,ATG,79851
1999,ATG,81831
2000,ATG,83584
2001,ATG,85057
2002,ATG,86266
2003,ATG,87293
2004,ATG,88257
2005,ATG,89253
2006,ATG,90301
2007,ATG,91381
2008,ATG,92478
2009,ATG,93581
2010,ATG,94661
2011,ATG,95719
2012,ATG,96777
2013,ATG,97824
2014,ATG,98875
2015,ATG,99923
2016,ATG,100963
2017,ATG,102012
1960,AUS,10276477
1961,AUS,10483000
1962,AUS,10742000
1963,AUS,10950000
1964,AUS,11167000
1965,AUS,11388000
1966,AUS,11651000
1967,AUS,11799000
1968,AUS,12009000
1969,AUS,12263000
1970,AUS,12507000
1971,AUS,12937000
1972,AUS,13177000
1973,AUS,13380000
1974,AUS,13723000
1975,AUS,13893000
1976,AUS,14033000
1977,AUS,14192000
1978,AUS,14358000
1979,AUS,14514000
1980,AUS,14692000
1981,AUS,14927000
1982,AUS,15178000
1983,AUS,15369000
1984,AUS,15544000
1985,AUS,15758000
1986,AUS,16018400
1987,AUS,16263900
1988,AUS,16532200
1989,AUS,16814400
1990,AUS,17065100
1991,AUS,17284000
1992,AUS,17495000
1993,AUS,17667000
1994,AUS,17855000
1995,AUS,18072000
1996,AUS,18311000
1997,AUS,18517000
1998,AUS,18711000
1999,AUS,18926000
2000,AUS,19153000
2001,AUS,19413000
2002,AUS,19651400
2003,AUS,19895400
2004,AUS,20127400
2005,AUS,20394800
2006,AUS,20697900
2007,AUS,20827600
2008,AUS,21249200
2009,AUS,21691700
2010,AUS,22031750
2011,AUS,22340024
2012,AUS,22742475
2013,AUS,23145901
2014,AUS,23504138
2015,AUS,23850784
2016,AUS,24210809
2017,AUS,24598933
1960,AUT,7047539
1961,AUT,7086299
1962,AUT,7129864
1963,AUT,7175811
1964,AUT,7223801
1965,AUT,7270889
1966,AUT,7322066
1967,AUT,7376998
1968,AUT,7415403
1969,AUT,7441055
1970,AUT,7467086
1971,AUT,7500482
1972,AUT,7544201
1973,AUT,7586115
1974,AUT,7599038
1975,AUT,7578903
1976,AUT,7565525
1977,AUT,7568430
1978,AUT,7562305
1979,AUT,7549425
1980,AUT,7549433
1981,AUT,7568710
1982,AUT,7574140
1983,AUT,7561910
1984,AUT,7561434
1985,AUT,7564985
1986,AUT,7569794
1987,AUT,7574586
1988,AUT,7585317
1989,AUT,7619567
1990,AUT,7677850
1991,AUT,7754891
1992,AUT,7840709
1993,AUT,7905633
1994,AUT,7936118
1995,AUT,7948278
1996,AUT,7959017
1997,AUT,7968041
1998,AUT,7976789
1999,AUT,7992324
2000,AUT,8011566
2001,AUT,8042293
2002,AUT,8081957
2003,AUT,8121423
2004,AUT,8171966
2005,AUT,8227829
2006,AUT,8268641
2007,AUT,8295487
2008,AUT,8321496
2009,AUT,8343323
2010,AUT,8363404
2011,AUT,8391643
2012,AUT,8429991
2013,AUT,8479823
2014,AUT,8546356
2015,AUT,8642699
2016,AUT,8736668
2017,AUT,8809212
1960,AZE,3895396
1961,AZE,4030320
1962,AZE,4171425
1963,AZE,4315128
1964,AZE,4456689
1965,AZE,4592610
1966,AZE,4721525
1967,AZE,4843870
1968,AZE,4960235
1969,AZE,5071930
1970,AZE,5180025
1971,AZE,5284532
1972,AZE,5385267
1973,AZE,5483084
1974,AZE,5579077
1975,AZE,5674137
1976,AZE,5768724
1977,AZE,5863134
1978,AZE,5957929
1979,AZE,6053645
1980,AZE,6150738
1981,AZE,6249320
1982,AZE,6349558
1983,AZE,6452076
1984,AZE,6557585
1985,AZE,6666455
1986,AZE,6778633
1987,AZE,6893500
1988,AZE,7010036
1989,AZE,7126891
1990,AZE,7159000
1991,AZE,7271000
1992,AZE,7382000
1993,AZE,7495000
1994,AZE,7597000
1995,AZE,7685000
1996,AZE,7763000
1997,AZE,7838250
1998,AZE,7913000
1999,AZE,7982750
2000,AZE,8048600
2001,AZE,8111200
2002,AZE,8171950
2003,AZE,8234100
2004,AZE,8306500
2005,AZE,8391850
2006,AZE,8484550
2007,AZE,8581300
2008,AZE,8763400
2009,AZE,8947243
2010,AZE,9054332
2011,AZE,9173082
2012,AZE,9295784
2013,AZE,9416801
2014,AZE,9535079
2015,AZE,9649341
2016,AZE,9757812
2017,AZE,9862429
1960,BDI,2786106
1961,BDI,2839666
1962,BDI,2893669
1963,BDI,2949926
1964,BDI,3010859
1965,BDI,3077876
1966,BDI,3152723
1967,BDI,3234023
1968,BDI,3316233
1969,BDI,3391753
1970,BDI,3455606
1971,BDI,3505391
1972,BDI,3544047
1973,BDI,3578490
1974,BDI,3618585
1975,BDI,3671494
1976,BDI,3739659
1977,BDI,3821194
1978,BDI,3913768
1979,BDI,4013310
1980,BDI,4116817
1981,BDI,4223195
1982,BDI,4333386
1983,BDI,4448728
1984,BDI,4571292
1985,BDI,4702066
1986,BDI,4841565
1987,BDI,4987736
1988,BDI,5135956
1989,BDI,5280024
1990,BDI,5415415
1991,BDI,5542048
1992,BDI,5661139
1993,BDI,5771398
1994,BDI,5871607
1995,BDI,5962058
1996,BDI,6041112
1997,BDI,6112097
1998,BDI,6186352
1999,BDI,6278940
2000,BDI,6400706
2001,BDI,6555829
2002,BDI,6741569
2003,BDI,6953113
2004,BDI,7182451
2005,BDI,7423289
2006,BDI,7675338
2007,BDI,7939573
2008,BDI,8212264
2009,BDI,8489031
2010,BDI,8766930
2011,BDI,9043508
2012,BDI,9319710
2013,BDI,9600186
2014,BDI,9891790
2015,BDI,10199270
2016,BDI,10524117
2017,BDI,10864245
1960,BEL,9153489
1961,BEL,9183948
1962,BEL,9220578
1963,BEL,9289770
1964,BEL,9378113
1965,BEL,9463667
1966,BEL,9527807
1967,BEL,9580991
1968,BEL,9618756
1969,BEL,9646032
1970,BEL,9655549
1971,BEL,9673162
1972,BEL,9711115
1973,BEL,9741720
1974,BEL,9772419
1975,BEL,9800700
1976,BEL,9818227
1977,BEL,9830358
1978,BEL,9839534
1979,BEL,9848382
1980,BEL,9859242
1981,BEL,9858982
1982,BEL,9856303
1983,BEL,9855520
1984,BEL,9855372
1985,BEL,9858308
1986,BEL,9861823
1987,BEL,9870234
1988,BEL,9901664
1989,BEL,9937697
1990,BEL,9967379
1991,BEL,10004486
1992,BEL,10045158
1993,BEL,10084475
1994,BEL,10115603
1995,BEL,10136811
1996,BEL,10156637
1997,BEL,10181245
1998,BEL,10203008
1999,BEL,10226419
2000,BEL,10251250
2001,BEL,10286570
2002,BEL,10332785
2003,BEL,10376133
2004,BEL,10421137
2005,BEL,10478617
2006,BEL,10547958
2007,BEL,10625700
2008,BEL,10709973
2009,BEL,10796493
2010,BEL,10895586
2011,BEL,11047744
2012,BEL,11128246
2013,BEL,11182817
2014,BEL,11209057
2015,BEL,11274196
2016,BEL,11331422
2017,BEL,11372068
1960,BEN,2431622
1961,BEN,2465867
1962,BEN,2502896
1963,BEN,2542859
1964,BEN,2585965
1965,BEN,2632356
1966,BEN,2682159
1967,BEN,2735307
1968,BEN,2791590
1969,BEN,2850661
1970,BEN,2912340
1971,BEN,2976572
1972,BEN,3043567
1973,BEN,3113675
1974,BEN,3187412
1975,BEN,3265165
1976,BEN,3347173
1977,BEN,3433439
1978,BEN,3523938
1979,BEN,3618526
1980,BEN,3717165
1981,BEN,3820128
1982,BEN,3927714
1983,BEN,4039949
1984,BEN,4156819
1985,BEN,4278501
1986,BEN,4404506
1987,BEN,4535263
1988,BEN,4672852
1989,BEN,4820016
1990,BEN,4978496
1991,BEN,5149499
1992,BEN,5331803
1993,BEN,5521763
1994,BEN,5714220
1995,BEN,5905558
1996,BEN,6094259
1997,BEN,6281639
1998,BEN,6470265
1999,BEN,6664098
2000,BEN,6865951
2001,BEN,7076733
2002,BEN,7295394
2003,BEN,7520555
2004,BEN,7750004
2005,BEN,7982225
2006,BEN,8216896
2007,BEN,8454791
2008,BEN,8696916
2009,BEN,8944706
2010,BEN,9199259
2011,BEN,9460802
2012,BEN,9729160
2013,BEN,10004451
2014,BEN,10286712
2015,BEN,10575952
2016,BEN,10872298
2017,BEN,11175692
1960,BFA,4829288
1961,BFA,4894580
1962,BFA,4960326
1963,BFA,5027821
1964,BFA,5098890
1965,BFA,5174870
1966,BFA,5256363
1967,BFA,5343019
1968,BFA,5434041
1969,BFA,5528174
1970,BFA,5624600
1971,BFA,5723381
1972,BFA,5825173
1973,BFA,5930483
1974,BFA,6040041
1975,BFA,6154545
1976,BFA,6274037
1977,BFA,6398935
1978,BFA,6530819
1979,BFA,6671656
1980,BFA,6822843
1981,BFA,6985160
1982,BFA,7158255
1983,BFA,7340905
1984,BFA,7531242
1985,BFA,7727907
1986,BFA,7930694
1987,BFA,8140073
1988,BFA,8356305
1989,BFA,8579823
1990,BFA,8811034
1991,BFA,9050084
1992,BFA,9297113
1993,BFA,9552476
1994,BFA,9816588
1995,BFA,10089878
1996,BFA,10372745
1997,BFA,10665546
1998,BFA,10968724
1999,BFA,11282701
2000,BFA,11607942
2001,BFA,11944587
2002,BFA,12293100
2003,BFA,12654621
2004,BFA,13030569
2005,BFA,13421930
2006,BFA,13829177
2007,BFA,14252021
2008,BFA,14689726
2009,BFA,15141099
2010,BFA,15605217
2011,BFA,16081904
2012,BFA,16571216
2013,BFA,17072723
2014,BFA,17585977
2015,BFA,18110624
2016,BFA,18646433
2017,BFA,19193382
1960,BGD,48199747
1961,BGD,49592802
1962,BGD,51030137
1963,BGD,52532417
1964,BGD,54129100
1965,BGD,55834038
1966,BGD,57672990
1967,BGD,59620669
1968,BGD,61579473
1969,BGD,63417394
1970,BGD,65047770
1971,BGD,66424744
1972,BGD,67597470
1973,BGD,68691185
1974,BGD,69884420
1975,BGD,71305923
1976,BGD,72999136
1977,BGD,74925896
1978,BGD,77033846
1979,BGD,79236776
1980,BGD,81470860
1981,BGD,83721268
1982,BGD,86007331
1983,BGD,88338242
1984,BGD,90732362
1985,BGD,93199865
1986,BGD,95742431
1987,BGD,98343809
1988,BGD,100975321
1989,BGD,103599232
1990,BGD,106188642
1991,BGD,108727432
1992,BGD,111221938
1993,BGD,113695139
1994,BGD,116182267
1995,BGD,118706871
1996,BGD,121269645
1997,BGD,123854640
1998,BGD,126447965
1999,BGD,129029691
2000,BGD,131581243
2001,BGD,134107160
2002,BGD,136600667
2003,BGD,139019001
2004,BGD,141307489
2005,BGD,143431101
2006,BGD,145368004
2007,BGD,147139191
2008,BGD,148805814
2009,BGD,150454708
2010,BGD,152149102
2011,BGD,153911916
2012,BGD,155727053
2013,BGD,157571292
2014,BGD,159405279
2015,BGD,161200886
2016,BGD,162951560
2017,BGD,164669751
1960,BGR,7867374
1961,BGR,7943118
1962,BGR,8012946
1963,BGR,8078145
1964,BGR,8144340
1965,BGR,8204168
1966,BGR,8258057
1967,BGR,8310226
1968,BGR,8369603
1969,BGR,8434172
1970,BGR,8489574
1971,BGR,8536395
1972,BGR,8576200
1973,BGR,8620967
1974,BGR,8678745
1975,BGR,8720742
1976,BGR,8758599
1977,BGR,8804183
1978,BGR,8814032
1979,BGR,8825940
1980,BGR,8861535
1981,BGR,8891117
1982,BGR,8917457
1983,BGR,8939738
1984,BGR,8960679
1985,BGR,8960547
1986,BGR,8958171
1987,BGR,8971359
1988,BGR,8981446
1989,BGR,8876972
1990,BGR,8718289
1991,BGR,8632367
1992,BGR,8540164
1993,BGR,8472313
1994,BGR,8443591
1995,BGR,8406067
1996,BGR,8362826
1997,BGR,8312068
1998,BGR,8256786
1999,BGR,8210624
2000,BGR,8170172
2001,BGR,8009142
2002,BGR,7837161
2003,BGR,7775327
2004,BGR,7716860
2005,BGR,7658972
2006,BGR,7601022
2007,BGR,7545338
2008,BGR,7492561
2009,BGR,7444443
2010,BGR,7395599
2011,BGR,7348328
2012,BGR,7305888
2013,BGR,7265115
2014,BGR,7223938
2015,BGR,7177991
2016,BGR,7127822
2017,BGR,7075991
1960,BHR,162427
1961,BHR,167894
1962,BHR,173144
1963,BHR,178140
1964,BHR,182887
1965,BHR,187431
1966,BHR,191780
1967,BHR,196063
1968,BHR,200653
1969,BHR,206043
1970,BHR,212605
1971,BHR,220312
1972,BHR,229155
1973,BHR,239527
1974,BHR,251911
1975,BHR,266543
1976,BHR,283752
1977,BHR,303175
1978,BHR,323473
1979,BHR,342798
1980,BHR,359888
1981,BHR,374120
1982,BHR,385950
1983,BHR,396454
1984,BHR,407227
1985,BHR,419430
1986,BHR,433482
1987,BHR,448973
1988,BHR,465202
1989,BHR,481090
1990,BHR,495931
1991,BHR,509765
1992,BHR,523087
1993,BHR,536213
1994,BHR,549588
1995,BHR,563699
1996,BHR,578668
1997,BHR,594930
1998,BHR,613702
1999,BHR,636545
2000,BHR,664614
2001,BHR,697549
2002,BHR,735148
2003,BHR,778711
2004,BHR,829848
2005,BHR,889168
2006,BHR,958414
2007,BHR,1035891
2008,BHR,1114590
2009,BHR,1185029
2010,BHR,1240862
2011,BHR,1278269
2012,BHR,1300217
2013,BHR,1315411
2014,BHR,1336397
2015,BHR,1371855
2016,BHR,1425171
2017,BHR,1492584
1960,BHS,109528
1961,BHS,115108
1962,BHS,121083
1963,BHS,127333
1964,BHS,133698
1965,BHS,140054
1966,BHS,146366
1967,BHS,152609
1968,BHS,158627
1969,BHS,164248
1970,BHS,169354
1971,BHS,173863
1972,BHS,177839
1973,BHS,181488
1974,BHS,185099
1975,BHS,188882
1976,BHS,192902
1977,BHS,197111
1978,BHS,201513
1979,BHS,206032
1980,BHS,210661
1981,BHS,215396
1982,BHS,220275
1983,BHS,225187
1984,BHS,230015
1985,BHS,234687
1986,BHS,239131
1987,BHS,243393
1988,BHS,247579
1989,BHS,251849
1990,BHS,256336
1991,BHS,261116
1992,BHS,266134
1993,BHS,271165
1994,BHS,275895
1995,BHS,280150
1996,BHS,283790
1997,BHS,286970
1998,BHS,290060
1999,BHS,293572
2000,BHS,297890
2001,BHS,303135
2002,BHS,309157
2003,BHS,315746
2004,BHS,322526
2005,BHS,329249
2006,BHS,335830
2007,BHS,342328
2008,BHS,348676
2009,BHS,354856
2010,BHS,360832
2011,BHS,366568
2012,BHS,372039
2013,BHS,377240
2014,BHS,382169
2015,BHS,386838
2016,BHS,391232
2017,BHS,395361
1960,BIH,3225668
1961,BIH,3288602
1962,BIH,3353226
1963,BIH,3417574
1964,BIH,3478995
1965,BIH,3535640
1966,BIH,3586634
1967,BIH,3632669
1968,BIH,3675452
1969,BIH,3717466
1970,BIH,3760527
1971,BIH,3805285
1972,BIH,3851151
1973,BIH,3897255
1974,BIH,3942223
1975,BIH,3985103
1976,BIH,4025265
1977,BIH,4063191
1978,BIH,4100350
1979,BIH,4138819
1980,BIH,4179855
1981,BIH,4222511
1982,BIH,4265310
1983,BIH,4308106
1984,BIH,4350746
1985,BIH,4392130
1986,BIH,4435504
1987,BIH,4478519
1988,BIH,4508056
1989,BIH,4506653
1990,BIH,4463422
1991,BIH,4371603
1992,BIH,4239154
